ym,region,country,visitors,visitors_yoy,visitors_vs_2019,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,guest_nights_vs_2019,updated_at
2019-06,東アジア,マカオ,9962,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,マカオ,16358,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,マカオ,17232,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,マカオ,8076,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,マカオ,7538,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,マカオ,9309,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,マカオ,14725,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,イスラエル,1107,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,イスラエル,1524,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,イスラエル,6032,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,イスラエル,7453,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,イスラエル,3164,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,イスラエル,1644,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,イスラエル,2221,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,イスラエル,2130,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,イスラエル,5402,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,イスラエル,7956,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,イスラエル,3728,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,イスラエル,1853,,0.0,,,,,,2026-06-09 00:08:19
2019-01,東アジア,モンゴル,2893,,0.0,,,,,,2026-06-09 00:08:19
2019-02,東アジア,モンゴル,2108,,0.0,,,,,,2026-06-09 00:08:19
2019-03,東アジア,モンゴル,2989,,0.0,,,,,,2026-06-09 00:08:19
2019-04,東アジア,モンゴル,2650,,0.0,,,,,,2026-06-09 00:08:19
2019-05,東アジア,モンゴル,2166,,0.0,,,,,,2026-06-09 00:08:19
2019-06,東アジア,モンゴル,2570,,0.0,,,,,,2026-06-09 00:08:19
2019-07,東アジア,モンゴル,2203,,0.0,,,,,,2026-06-09 00:08:19
2019-08,東アジア,モンゴル,3275,,0.0,,,,,,2026-06-09 00:08:19
2019-09,東アジア,モンゴル,3102,,0.0,,,,,,2026-06-09 00:08:19
2019-10,東アジア,モンゴル,2637,,0.0,,,,,,2026-06-09 00:08:19
2019-11,東アジア,モンゴル,2473,,0.0,,,,,,2026-06-09 00:08:19
2019-12,東アジア,モンゴル,2447,,0.0,,,,,,2026-06-09 00:08:19
2019-01,欧州,トルコ,1153,,0.0,,,,,,2026-06-09 00:08:19
2019-02,欧州,トルコ,1105,,0.0,,,,,,2026-06-09 00:08:19
2019-03,欧州,トルコ,2181,,0.0,,,,,,2026-06-09 00:08:19
2019-04,欧州,トルコ,2483,,0.0,,,,,,2026-06-09 00:08:19
2019-05,欧州,トルコ,1906,,0.0,,,,,,2026-06-09 00:08:19
2019-06,欧州,トルコ,2736,,0.0,,,,,,2026-06-09 00:08:19
2019-07,欧州,トルコ,2025,,0.0,,,,,,2026-06-09 00:08:19
2019-08,欧州,トルコ,1924,,0.0,,,,,,2026-06-09 00:08:19
2019-09,欧州,トルコ,1752,,0.0,,,,,,2026-06-09 00:08:19
2019-10,欧州,トルコ,1855,,0.0,,,,,,2026-06-09 00:08:19
2019-11,欧州,トルコ,2176,,0.0,,,,,,2026-06-09 00:08:19
2019-12,欧州,トルコ,1428,,0.0,,,,,,2026-06-09 00:08:19
2019-01,アジアその他,その他アジア,16558,,0.0,,,,,,2026-06-09 00:08:19
2019-02,アジアその他,その他アジア,13167,,0.0,,,,,,2026-06-09 00:08:19
2019-03,アジアその他,その他アジア,22211,,0.0,,,,,,2026-06-09 00:08:19
2019-04,アジアその他,その他アジア,28928,,0.0,,,,,,2026-06-09 00:08:19
2019-05,アジアその他,その他アジア,16160,,0.0,,,,,,2026-06-09 00:08:19
2019-06,アジアその他,その他アジア,15980,,0.0,,,,,,2026-06-09 00:08:19
2019-07,アジアその他,その他アジア,17285,,0.0,,,,,,2026-06-09 00:08:19
2019-08,アジアその他,その他アジア,17774,,0.0,,,,,,2026-06-09 00:08:19
2019-09,アジアその他,その他アジア,19546,,0.0,,,,,,2026-06-09 00:08:19
2019-10,アジアその他,その他アジア,21918,,0.0,,,,,,2026-06-09 00:08:19
2019-11,アジアその他,その他アジア,21915,,0.0,,,,,,2026-06-09 00:08:19
2019-12,アジアその他,その他アジア,18142,,0.0,,,,,,2026-06-09 00:08:19
2019-01,集計,ヨーロッパ計,92337,,0.0,,,,,,2026-06-09 00:08:19
2019-02,集計,ヨーロッパ計,99499,,0.0,,,,,,2026-06-09 00:08:19
2019-03,集計,ヨーロッパ計,186225,,0.0,,,,,,2026-06-09 00:08:19
2019-04,集計,ヨーロッパ計,240955,,0.0,,,,,,2026-06-09 00:08:19
2019-05,集計,ヨーロッパ計,164278,,0.0,,,,,,2026-06-09 00:08:19
2019-06,集計,ヨーロッパ計,134028,,0.0,,,,,,2026-06-09 00:08:19
2019-07,集計,ヨーロッパ計,178049,,0.0,,,,,,2026-06-09 00:08:19
2019-08,集計,ヨーロッパ計,165158,,0.0,,,,,,2026-06-09 00:08:19
2019-09,集計,ヨーロッパ計,188424,,0.0,,,,,,2026-06-09 00:08:19
