ym,country,prefecture,region_block,foreign_guest_nights,guest_nights_yoy,source,updated_at
2024-01,スペイン,山形県,東北,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,山形県,東北,1790,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,総数,福島県,東北,40330,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,福島県,東北,440,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,福島県,東北,3010,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,福島県,東北,2940,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,台湾,福島県,東北,21970,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,福島県,東北,370,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,福島県,東北,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,福島県,東北,70,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,福島県,東北,50,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,福島県,東北,110,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,福島県,東北,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,福島県,東北,310,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,福島県,東北,2870,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,福島県,東北,380,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,福島県,東北,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,福島県,東北,1050,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,福島県,東北,140,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,福島県,東北,540,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,福島県,東北,220,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,福島県,東北,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,スペイン,福島県,東北,30,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,福島県,東北,1060,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,総数,茨城県,関東,11390,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,茨城県,関東,1690,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,茨城県,関東,1860,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,茨城県,関東,500,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,台湾,茨城県,関東,1490,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,茨城県,関東,1260,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,茨城県,関東,130,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,茨城県,関東,300,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,茨城県,関東,470,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,茨城県,関東,60,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,茨城県,関東,10,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,茨城県,関東,80,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,茨城県,関東,230,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,茨城県,関東,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,茨城県,関東,100,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,茨城県,関東,140,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,茨城県,関東,90,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,茨城県,関東,230,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,茨城県,関東,110,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,茨城県,関東,100,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,スペイン,茨城県,関東,20,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,茨城県,関東,1170,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,総数,栃木県,関東,20070,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,韓国,栃木県,関東,1330,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,中国,栃木県,関東,2660,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,香港,栃木県,関東,850,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,台湾,栃木県,関東,6250,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,米国,栃木県,関東,1840,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,カナダ,栃木県,関東,110,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,英国,栃木県,関東,230,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ドイツ,栃木県,関東,230,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フランス,栃木県,関東,310,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ロシア,栃木県,関東,50,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,シンガポール,栃木県,関東,460,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,タイ,栃木県,関東,620,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,マレーシア,栃木県,関東,440,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インド,栃木県,関東,360,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,豪州,栃木県,関東,430,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,インドネシア,栃木県,関東,180,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,ベトナム,栃木県,関東,140,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,フィリピン,栃木県,関東,90,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,イタリア,栃木県,関東,40,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,スペイン,栃木県,関東,250,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
2024-01,その他,栃木県,関東,1210,,宿泊旅行統計 2024年確定値 参考第1表 / 参考第1表(1月),2026-05-29
